SKU,Name,Description,Stock,"Weight (kg)",Categories,images
137805,GP-410UB,"Adesso GP-410UB Smart Cat 4 Button USB Touchpad Retail",38,0.56,Accessories>Accessories,images/137805.jpg
137807,HC-3003US,"Adesso MC HC-3003US USB 3 Button Desktop Optical Scroll Mouse Retail",0,0.25,"Mouse>USB Mice",images/137807.jpg
137808,HC-3003PS,"Adesso MC HC-3003PS PS 2 3 Button Desktop Optical Scroll Mouse Retail",20,0.25,"Mouse>PS/2 Mouse",images/137808.jpg
137810,"IMOUSE G25","Adesso Mouse iMouse G25 2.4GHz Wireless Ergonomic Laser Mouse Retail",0,0.73,"Mouse>Cordless Mouse",images/137810.jpg
137815,DWA-171,"D-Link Network DWA-171 Wireless AC Dual Band USB Adapter Retail",0,0.39,"Network Device>Wireless Networking Device Accessory",images/137815.jpg
137826,CP-9020061-NA,"Corsair Power Supply CP-9020061-NA CX750M Retail",9,6.50,"Power Supply>ATX Power Supply",images/137826.jpg
137881,B140-002-DD,"Tripp Lite Accessory B140-002-DD DVI Over Cat5 Dual Display Extender Splitter",1,1.80,Accessories>Accessories,images/137881.jpg
137889,DSDPS40HR,"Intel DSDPS40HR Manager and Distribution f Apache Hadoop 40hours Pro Services",0,0.00,"Other>Vendor Extended Warranty",images/137889.jpg
137933,CBL-0421L,"Supermicro Cable CBL-0421L Serial Attached SCSI (SAS) Internal Cable Retail",3,0.20,"Cables>Internal IDE",images/137933.jpg
137962,0B26011-HIT,"Hitachi 0B26011-HIT 300GB SAS Enterprise 10K 64MB 2.5 Ultrastar 6Gb s Bare",1,0.45,"Hard Drives>Enterprise SAS 2.5 drive",images/137962.jpg
137980,SUPER7B,"Tripp-Lite SURGE SUPER7B 7Outlet 7ft 2160Joule NEMA 5-15P Black Strip Retail",12,3.00,"UPS>Surge Protection",images/137980.jpg
137986,TLP1208TEL,"Tripp-Lite SURGE TLP1208TEL 12Outlet 8ft 2160Joule NEMA 5-15P Retail",0,2.27,"UPS>Surge Protection",images/137986.jpg
138040,NH-U12S,"Noctua NH-U12S LGA2011 1156 1155 1150 AM2 AM2+ AM3 AM3+ FM1 FM2 120mm Retail",270,3.50,"Fans>Socket 7/A CPU Fan",images/138040.jpg
138041,NH-U14S,"Noctua CPU Cooler NH-U14S S2011 1156 1155 1150 AM2 AM3 FM1 FM2 140mm PWM Fan",16,4.25,"Fans>LGA 1156 CPU Fan",images/138041.jpg
138126,C6PATCH5GR,"Startech Cable C6PATCH5GR 5ft Cat6 Molded RJ45 UTP Gigabit Patch Gray Retail",0,0.17,Cables>Networking,images/138126.jpg
138127,C6PATCH50GR,"Startech Cable C6PATCH50GR 50ft Cat6 Molded RJ45 UTP Gigabit Patch Gray Retail",0,1.41,Cables>Networking,images/138127.jpg
138148,PCIE-Q350-R13,"IEI SBC PCIE-Q350-R13 Core 2 Duo Quad LGA775 Q35 SATA PCIE USB2.0 Brown Box",0,2.40,"Other>VIA Single Board Computer",images/138148.jpg
138155,K17,"Dynatron CPU Cooler K17 3U LGA1156 1155 Aluminum Heatsink Fan Retail",14,1.00,"Fans>Xeon CPU Fan",images/138155.jpg
138162,MUYHSMFFADW,"StarTech MUYHSMFFADW 3.5mm 4 Pin to 2x3 Pin 3.5mm Headset Adapter M F WH RTL",0,0.04,"Cables>External IDE",images/138162.jpg
138163,SCNM9FM1MBK,"StarTech Cable SCNM9FM1MBK 1m DB9 RS232 Serial Null Modem F M Black Retail",0,0.19,"Cables>External IDE",images/138163.jpg
138164,SCNM9FM2MBK,"StarTech Cable SCNM9FM2MBK 2m DB9 RS232 Serial Null Modem F M Black Retail",0,0.29,"Cables>External IDE",images/138164.jpg
138165,MUY1MFFADP,"StarTech MUY1MFFADP Slim Headphone Splitter Cable 3.5mm Male to 2x3.5mm Female",0,0.10,"Cables>External IDE",images/138165.jpg
138167,MU3MMMSWH,"StarTech Cable MU3MMMSWH 3m Slim 3.5mm Stereo Audio Cable Male to Male White",108,1.00,"Cables>External IDE",images/138167.jpg
138169,MU2MMMSWH,"StarTech Cable MU2MMMSWH 2m Slim 3.5mm Stereo Audio Cable Male to Male White",0,0.10,"Cables>External IDE",images/138169.jpg
138170,MU1MMMSWH,"StarTech Cable MU1MMMSWH 1m Slim 3.5mm Stereo Audio Cable Male to Male White",0,0.10,"Cables>External IDE",images/138170.jpg
138171,HDMM10MA,"StarTech Cable HDMM10MA 33ft Active CL2 In-wall High Speed HDMI to HDMI M M",0,1.32,"Cables>External IDE",images/138171.jpg
138172,USB31000NDS,"StarTech USB31000NDS USB3.0 to Gigabit Ethernet NIC Network Adapter Black RTL",0,0.27,Accessories>Accessories,images/138172.jpg
138173,HDMM20,"StarTech Cable HDMM20 20ft High Speed HDMI to HDMI M M Retail",0,1.54,"Cables>External IDE",images/138173.jpg
138174,HDMM30,"StarTech Cable HDMM30 30ft High Speed HDMI to HDMI M M Retail",0,2.31,"Cables>External IDE",images/138174.jpg
138175,HDMM6,"StarTech Cable HDMM6 6ft High Speed HDMI to HDMI M M Black Retail",23,1.00,"Cables>External IDE",images/138175.jpg
138176,HDMM40,"StarTech Cable HDMM40 40ft High Speed HDMI to HDMI M M Retail",0,3.02,"Cables>External IDE",images/138176.jpg
138291,RM24200-S400L2,"CHENBRO Rackmount Case RM24200-S400L2 2U 18 2.5 3.5HDD USB2.0 microATX Server",0,6.41,"Cases>Rackmount Chassis Accessory",images/138291.jpg
138339,EPM1350EWT,"Enermax PLATIMAX 1350W PS ATX APFC SATA MODULAR 80PLUS PLATINUM RETAIL",0,17.00,"Power Supply>ATX Power Supply",images/138339.jpg
138359,"IW-SR2-26 BB","In-Win AC SR2-26 BB 26 Rail for 2U RS212",0,6.00,Accessories>Accessories,images/138359.jpg
138371,"NF-S12A FLX","Noctua Fan NF-S12A FLX Knobs Blade Tips 3 Speed SSO2 Bearing 120x120x25mm RTL",230,0.75,"Fans>Chassis/Power Supply Fan",images/138371.jpg
138495,USB3SAB1MRA,"StarTech USB3SAB1MRA 1M SuperSpeed USB 3.0 Cable Right Angle A to B M M Black",0,0.17,"Cables>External IDE",images/138495.jpg
138609,"ARCHER C7","TP-Link NT Archer C7 WL Dual Band AC1750 GBe Router 2.4GHz 5GHz USB 3 Antennas",0,3.00,"Network Device>Networking Router",images/138609.jpg
138614,KVR16LS11/4,"Kingston Memory KVR16LS11 4 4GB DDR3 1600 SODIMM 1.35V Retail",25,1.00,"Memory>DDR3 SDRAM SODIMM",images/138614.jpg
138615,KVR16LS11/8,"Kingston Memory KVR16LS11 8 8GB DDR3 1600 SODIMM 1.35V Retail",33,1.00,"Memory>DDR3 SDRAM SODIMM",images/138615.jpg
138642,TL-SG1024DE,"TP-Link Switch TL-SG1024DE 24-Port Gigabit Easy Smart Switch 10 100 1000Mbps",0,5.40,"Network Device>Switches",images/138642.jpg
138784,MB991SK-B,"ICY DOCK MB991SK-B 2.5 SATA HDD SSD Full Metal Mobile Rack 1x3.5 Device Bay",33,1.00,"Removable Drive>Removable Storage Devices",images/138784.jpg
138820,MBD-X10SAE-B,"Supermicro Motherboard MBD-X10SAE-B S1150 E3-1200 C226 DDR3 PCIE3 SATA3 ATX",0,1.55,"Motherboards>LGA 1150 Motherboard",images/138820.jpg
138839,NSE-200-KKN1,"CoolerMaster N200 MATX MINI TOWER NO PS 1 0 (3) BAY USB 3.0 BK BLACK INTERIOR",1,16.00,"Cases>Mini-Tower (mATX)",images/138839.jpg
138872,WH16NS40,"LG COM BDRW XL WH16NS40 16X SATA Black Bare",676,1.54,"Optical Drive>Blue Ray Writer Player",images/138872.jpg
139063,ST121HDFXA,"StarTech Accessory ST121HDFXA HDMI Over Fiber Extender w IR Control 2600ft RTL",0,2.20,"Accessories>Video Card Accessories",images/139063.jpg
139064,MPEXUSB3S22B,"StarTech Accessory MPEXUSB3S22B 2PT Mini PCIE USB3.0 ADT Card w  Bracket Kit",0,0.66,Accessories>Accessories,images/139064.jpg
139065,USB2HAB50AC,"StarTech Cable USB2HAB50AC 15m 50ft Active USB2.0 A to B Cable Male Male RTL",0,1.66,"Cables>External IDE",images/139065.jpg
139068,DVI2VGAE,"StarTech AC DVI2VGAE DVI-D to VGA Active Adapter Converter Cable 1920x1200 RTL",8,0.48,"Accessories>Video Card Accessories",images/139068.jpg
139069,USBLT2MW,"StarTech Cable USBLT2MW 2m 8pin Lightning Connector to USB f iPhone iPod iPad",20,0.23,"Cables>External IDE",images/139069.jpg
139070,USBLT1MW,"StarTech USBLT1MW 1m Apple 8Pin Connector to USB Cable for iPhone iPod iPad WH",0,0.19,"Cables>External IDE",images/139070.jpg
